"X0","X1","X2","V4"
"Branched chain FA /100g FA (g)","TOTBRFAC","Total branched chain per 100g fatty acid","brFACIDg_100gFAT"
"Branched chain FA /100g food (g)","TOTBRFOD","Total branched chain per 100g food","brFACIDg"
"Trans FAs /100g FA (g)","FACTRANS","Total Trans fatty acids per 100g fatty acids","FATRNg_100gFAT"
"Trans FAs /100g food (g)","FODTRANS","Total Trans fatty acids per 100g food","FATRNg"
"Cholesterol (mg)","CHOL","Cholesterol","CHOLmg"
"Sodium (mg)","NA","Sodium","NAmg"
"Potassium (mg)","K","Potassium","Kmg"
"Calcium (mg)","CA","Calcium","Camg"
"Magnesium (mg)","MG","Magnesium","MGmg"
"Phosphorus (mg)","P","Phosphorus","Pmg"
"Iron (mg)","FE","Iron","FEmg"
"Copper (mg)","CU","Copper","Cumg"
"Zinc (mg)","ZN","Zinc","ZNmg"
"Chloride (mg)","CL","Chloride","CLDmg"
"Manganese (mg)","MN","Manganese","MNmg"
"Selenium (µg)","SE","Selenium","SEmcg"
"Iodine (µg)","I","Iodine","IDmcg"
"Retinol (µg)","RET","Retinol","RETOLmcg"
"Carotene (µg)","CAREQU","Carotene","CARTBEQmcg"
"Retinol Equivalent (µg)","RETEQU","Total retinol equivalent","VITAmcg"
"Vitamin D (µg)","VITD","Total Vitamin D","VITDmcg"
"Vitamin E (mg)","VITE","Total Vitamin E","VITEmg"
"Vitamin K1 (µg)","VITK1","Phylloquinone","VITKmcg"
"Thiamin (mg)","THIA","Thiamin","THIAmg"
"Riboflavin (mg)","RIBO","Riboflavin","RIBOmg"
"Niacin (mg)","NIAC","Niacin","NIAmg"
"Tryptophan/60 (mg)","TRYP60","Tryptophan divided by 60","NIATRPmg"
"Niacin equivalent (mg)","NIACEQU","Niacin equivalent","NIAEQmg"
"Vitamin B6 (mg)","VITB6","Vitamin B6","VITB6_mg"
"Vitamin B12 (µg)","VITB12","Vitamin B12","VITB12mcg"
"Folate (µg)","FOLT","Folate","FOLmcg"
"Pantothenate (mg)","PANTO","Pantothenate","PANTOmg"
"Biotin (µg)","BIOT","Biotin","BIOTmcg"
"Vitamin C (mg)","VITC","Vitamin C","VITCmg"
"All-trans-retinol (µg)","ALTRET","All-trans-retinol","transRETOLmg"
"13-cis-retinol (µg)","13CISRET","13-cis-retinol","cisRETOLmg"
"Dehydroretinol (µg)","DEHYRET","Dehydroretinol","dehydroRETOLmg"
